campaign_id,campaign_name,channel,objective,start_date,end_date,budget_usd,spend_usd,target_region,creative_type,impressions,clicks,duration_days,total_leads,converted_leads,total_revenue,LCR,CPA,ROAS,budget_utilization,spend_anomaly,Group,Group_Label,spend_anomaly_flag,clean_roas,margin_roas,spend_wins
MKT2000,Reach_1,paid social,Lead Gen,2025-01-05 00:00:00,2025-01-26 00:00:00,65494.0,25081.0,All,Video,1355897,78364,21.0,156,46,7633.43,0.2948717948717949,545.2391304347826,0.3043511024281328,0.3829511100253458,False,1,High Efficiency,False,0.30435110242813285,0.09130533072843985,25081.0
MKT2001,Pulse_2,paid search,Lead Gen,0,0,63041.0,70687.0,All,Carousel,550894,"2,019,642",0.0,129,47,9557.94,0.3643410852713178,1503.978723404255,0.135214961732709,1.1212861471106106,False,1,High Efficiency,False,0.135214961732709,0.040564488519812696,70687.0
MKT2002,Lift_3,paid search,Awareness,0,0,63987.0,73962.0,nationwide,Video,2486725,65214,0.0,151,63,10852.06,0.4172185430463576,1174.0,0.1467248046294043,1.1558910403675746,False,1,High Efficiency,False,0.1467248046294043,0.044017441388821285,73962.0
MKT2003,Pulse_4,email,Awareness,0,0,17595.0,81009.0,All,Promo,347146,12276,0.0,151,56,7701.16,0.3708609271523179,1446.5892857142858,0.095065486550877,4.6040920716112534,False,1,High Efficiency,False,0.09506548655087706,0.02851964596526312,81009.0
MKT2004,Pulse_5,affiliate,Retention,0,0,25636.0,62929.0,North C.,Static,"615,582",36368,0.0,142,38,9252.89,0.2676056338028169,1656.0263157894738,0.1470369781817604,2.454712123576221,False,1,High Efficiency,False,0.1470369781817604,0.044111093454528114,62929.0
MKT2005,Bloom_6,paid social,Awareness,2025-02-18 00:00:00,0,12240.0,0.0,All,Static,610023,27400,0.0,133,45,9348.18,0.3383458646616541,0.0,0.0,0.0,False,1,High Efficiency,False,,,0.0
MKT2006,Spark_7,paid social,Conversion,0,0,39104.0,15284.0,All,Carousel,2019407,2165262,0.0,134,46,9104.93,0.3432835820895522,332.2608695652174,0.5957164354880922,0.3908551554828151,False,1,High Efficiency,False,0.5957164354880922,0.17871493064642763,15284.0
MKT2007,Lift_8,influencer,Conversion,0,0,61474.0,36223.0,South South,Testimonial,1306075,67423,0.0,129,29,8533.63,0.2248062015503876,1249.0689655172414,0.2355859536758413,0.589240979926473,False,1,High Efficiency,False,0.2355859536758413,0.07067578610275238,36223.0
MKT2008,Edge_9,paid social,Conversion,0,2025-01-01 00:00:00,56402.0,0.0,S/S,Promo,"1,027,266",29487,0.0,162,60,9443.53,0.3703703703703703,0.0,0.0,0.0,False,1,High Efficiency,False,,,0.0
MKT2009,Pulse_10,influencer,Lead Gen,0,0,21744.0,66993.0,All,Carousel,"1,345,516","47,455",0.0,162,56,9041.16,0.345679012345679,1196.303571428571,0.1349567865299359,3.080987858719647,False,1,High Efficiency,False,0.13495678652993595,0.04048703595898079,66993.0
