customer_id,gender,age,city,region,signup_date,preferred_device,loyalty_tier,email_opt_in,income_band
C100000,Male,31,Lagos,South West,2024-10-10,Desktop,Bronze,No,Low
C100001,Female,52,Kaduna,North West,2025-11-20,Tablet,Bronze,No,Low
C100002,Female,32,Port Harcourt,South South,2025/01/03,Mobile,Bronze,No,Upper-Middle
C100003,Female,37,Kaduna,North West,2025/10/11,Mobile,Bronze,Yes,Middle
C100004,Male,24,Calabar,South South,2024/02/21,Mobile,Bronze,Yes,Middle
C100005,Male,45,Ibadan,South West,2024-04-26,Mobile,Bronze,No,Middle
C100006,Female,25,Ibadan,South West,"Jun 14, 2025",Tablet,Bronze,No,Low
C100007,Female,27,Lagos,South West,2025-11-04,Mobile,Silver,Yes,Middle
C100008,Female,28,Abuja,North Central,2025-03-17,Tablet,Bronze,No,Upper-Middle
C100009,Male,25,Ibadan,South West,2024/07/31,Mobile,Silver,Yes,Lower-Middle
C100010,Female,21,Kano,North West,17/04/2024,Mobile,Platinum,Yes,Upper-Middle
C100011,Female,31,Enugu,South East,2024-03-09,Desktop,Gold,Yes,Upper-Middle
C100012,Male,29,Port Harcourt,South South,2024-10-13,Tablet,Gold,No,Middle
C100013,Female,32,Lagos,South West,2024/11/20,Mobile,Bronze,Yes,Lower-Middle
C100014,Female,25,Abuja,North Central,2024-04-16,Mobile,Bronze,No,Middle
C100015,Female,25,Jos,North Central,2025-10-04,Mobile,Bronze,Yes,Middle
C100016,Female,30,Lagos,South West,09/06/2024,Mobile,Bronze,No,Lower-Middle
C100017,Male,33,Ibadan,South West,2025-07-05,Desktop,Gold,No,Upper-Middle
C100018,Male,thirty,Jos,North Central,2024-11-25,Mobile,Silver,Yes,Middle
C100019,Female,33,Lagos,South West,2024-05-26,Mobile,Bronze,Yes,Middle
C100020,Female,31,Benin City,South South,2024-11-30,Mobile,Silver,Yes,Low
C100021,Male,42,Calabar,South South,2025-09-12,Mobile,Gold,Yes,Upper-Middle
C100022,Male,39,Abuja,North Central,2024/09/11,Desktop,Silver,Yes,Middle
C100023,Male,38,Benin City,South South,2025-01-10,Desktop,Bronze,No,Middle
C100024,Female,42,Jos,North Central,2025-07-13,Desktop,Bronze,Yes,Middle
C100025,Male,28,Lagos,South West,2025-09-08,Desktop,Silver,Yes,Middle
C100026,Female,45,Ibadan,South West,2024-05-23,Mobile,Silver,Yes,High
C100027,Male,35,Kaduna,North West,2025-10-31,Tablet,Bronze,Yes,Lower-Middle
C100028,Female,29,Kano,North West,2024-07-14,Mobile,Bronze,Yes,Middle
C100029,Male,37,Ibadan,South West,2025-11-30,Mobile,Bronze,Yes,Low
C100030,Female,24,Lagos,South West,2025-01-08,Mobile,Bronze,Yes,Low
C100031,Male,49,Ibadan,South West,2024-03-11,Mobile,Gold,Yes,Middle
C100032,Male,35,Port Harcourt,South South,2025-11-24,Mobile,Silver,Yes,Middle
C100033,Female,20,Ibadan,South West,2025-11-08,Mobile,Bronze,Yes,Lower-Middle
C100034,Male,23,Port Harcourt,South South,2024-02-07,TAB,Gold,Yes,Low
C100035,Male,?,Enugu,South East,23/09/2025,Mobile,Bronze,No,Lower-Middle
C100036,Male,28,Kaduna,North West,07-12-2024,Mobile,Silver,Yes,Lower-Middle
C100037,Male,37,Abuja,North Central,2024-10-22,Desktop,Gold,Yes,Upper-Middle
C100038,Male,41,Benin City,South South,2025-01-05,Mobile,Silver,Yes,High
C100039,Male,42,Abuja,North Central,2025-01-06,Tablet,Silver,Yes,Upper-Middle
C100040,Female,38,Ibadan,South West,2025-09-12,Mobile,Gold,Yes,Middle
C100041,Male,25,Port Harcourt,South South,2025-02-25,Mobile,Bronze,No,Lower-Middle
C100042,Male,43,Kano,North West,"Jun 11, 2025",Mobile,Bronze,Yes,Middle
C100043,Male,44,Port Harcourt,South South,10-23-2024,Desktop,Bronze,No,Upper-Middle
C100044,Female,18,Ibadan,South West,"Dec 01, 2024",phone,Bronze,No,Middle
C100045,Female,28,Kano,North West,2025-08-05,Desktop,Silver,Yes,Low
C100046,Female,30,Port Harcourt,South South,2024-12-03,Mobile,Bronze,Yes,Lower-Middle
C100047,Female,26,Jos,North Central,2025/04/21,Mobile,Gold,Yes,Middle
C100048,Male,42,Lagos,South West,2024-01-03,Tablet,Gold,Yes,Middle
C100049,Male,37,Kaduna,North West,2024-12-23,Mobile,Bronze,Yes,Upper-Middle
C100050,Female,34,Port Harcourt,South South,2025-11-16,Mobile,Bronze,Yes,Middle
C100051,Female,22,Port Harcourt,South South,2025-03-03,Desktop,Bronze,Yes,Middle
C100052,Male,18,Kano,North West,2024-04-04,Desktop,Platinum,Yes,Low
C100053,Male,25,Ibadan,South West,2024-08-04,Mobile,Silver,No,Middle
C100054,Female,26,Port Harcourt,South South,2024-05-07,Desktop,Gold,Yes,Low
C100055,Male,25,Lagos,South West,2025-07-06,Mobile,Silver,No,Lower-Middle
C100056,Male,18,Lagos,South West,2025-10-16,Tablet,Silver,No,Lower-Middle
C100057,Male,20,Kano,North West,2024-07-21,Mobile,Bronze,Yes,Middle
