order_id,customer_id,order_date,product_category,units,revenue_usd,discount_pct,payment_type,returned_flag,marketing_channel_last_touch
O900000,C100000,"Apr 10, 2025",Supplements,2,40.88,15,Cash on Delivery,False,Direct
O900001,C100000,2024-10-14,Snacks,3,29.5,10,Cash on Delivery,False,Direct
O900002,C100002,2025-03-05,Baby,3,74.56,10,Card,False,Paid Search
O900003,C100002,2025-10-23,Home Care,3,53.77,15,Card,False,Paid Social
O900004,C100004,2025-12-01,Beverages,4,33.95,5,Cash on Delivery,False,Organic
O900005,C100004,2025-05-18,Beverages,1,4.08,15,Cash on Delivery,False,Organic
O900006,C100005,"Jan 29, 2025",Personal Care,4,53.94,15,Cash on Delivery,False,Direct
O900007,C100007,2025-05-12,Baby,2,46.86,20,Cash on Delivery,False,Direct
O900008,C100009,2024-11-11,Supplements,5,114.07,5,Cash on Delivery,False,email
O900009,C100009,2025-04-06,Snacks,5,58.26,0,Transfer,False,Influencer
O900010,C100010,2025-09-10,Snacks,1,14.97,0,Wallet,False,Influencer
O900011,C100010,2024-07-23,Supplements,1,28.61,10,Cash on Delivery,False,Direct
O900012,C100010,2025-06-29,Personal Care,2,35.11,0,Card,False,Organic
O900013,C100010,2024-07-29,Home Care,1,18.2,20,Cash on Delivery,False,Direct
O900014,C100011,2024-09-16,Snacks,2,19.14,10,Wallet,True,Email
O900015,C100011,2025-08-10,Home Care,4,72.27,20,Cash on Delivery,False,Paid Social
O900016,C100012,2025-03-23,Baby,2,50.2,20,Cash on Delivery,False,Organic
O900017,C100012,2025-06-17,Beverages,5,35.64,5,Cash on Delivery,False,Influencer
O900018,C100014,2025-12-15,Snacks,3,38.77,0,Transfer,False,Influencer
O900019,C100015,2025-11-27,Home Care,4,88.6,0,Card,False,Influencer
O900020,C100018,2025-09-18,Home Care,1,17.95,10,Wallet,False,Organic
O900021,C100019,2025-08-31,Home Care,,20.68,0,Cash on Delivery,False,Paid Search
O900022,C100019,2024/12/31,Beverages,4,40.35,0,Wallet,False,Affiliate
O900023,C100022,"Jun 24, 2025",Home Care,3,58.3,10,cash,False,Influencer
O900024,C100028,2024-12-30,Supplements,2,40.2,15,Cash on Delivery,False,Paid Social
O900025,C100028,2024/07/30,Supplements,2,47.53,0,Cash on Delivery,False,Direct
O900026,C100028,2025-12-25,Personal Care,2,30.7,0,Cash on Delivery,False,Influencer
O900027,C100030,2025-11-07,Supplements,3,70.03,5,Cash on Delivery,False,Paid Search
O900028,C100030,2025-10-28,Personal-Care,3,-12,0,Card,False,Paid Social
O900029,C100031,03-17-2025,Home Care,3 ,21.18,10,Wallet,False,Paid Social
O900030,C100031,2025-08-17,Home Care,3,$45.20,0,Cash on Delivery,False,Affiliate
O900031,C100033,2025-11-19,Supplements,2,45.52,0,Wallet,True,Paid Search
O900032,C100034,2025-11-02,Personal-Care,7,131.58,0,Wallet,False,Influencer
O900033,C100034,2025-07-14,Supplements,2,54.66,0,Cash on Delivery,False,Organic
O900034,C100045,2025-12-04,Snacks,2,22.12,0,Card,Y,Direct
O900035,C100046,2025-02-05,Baby,5,140.32,0,Wallet,False,Paid Search
O900036,C100046,2024-10-17,Personal Care,2,35.79,10,Card,False,Affiliate
O900037,C100046,2024-06-02,Home Care,4,88.13,25,Cash on Delivery,False,Organic
O900038,C100047,2025/04/26,Home Care,3,53.91,20,Transfer,False,Email
O900039,C100047,2025-07-22,Home Care,4,72.45,15,Transfer,False,Organic
O900040,C100047,2025-12-03,Baby,6,134.1,20,Transfer,False,Affiliate
O900041,C100048,2025-11-05,Supplements,2,39.07,20,Cash on Delivery,False,Direct
O900042,C100049,2025-11-09,Personal Care,3,50.96,5,Transfer,False,Organic
O900043,C100052,2025-08-13,Supplements,1,19.01,15,Cash on Delivery,False,Organic
O900044,C404404,2025-04-14,Personal Care,5,99.69,0,Transfer,False,Affiliate
O900045,C100052,2025-06-02,Baby,2,50.77,5,Transfer,False,Email
O900046,C100052,2025-05-01,Snacks,4,38.99,5,Cash on Delivery,False,Paid Search
O900047,C100052,2025-08-05,Home Care,2,35.48,20,Wallet,False,Affiliate
O900048,C100052,2024-12-31,Baby,3,85.67,0,Card,False,Direct
O900049,C100053,2025-11-29,Personal Care,2,35.14,0,Card,False,Email
O900050,C100054,"Mar 19, 2025",Supplements,2,49.59,5,Cash on Delivery,False,Influencer
O900051,C100054,2025-09-26,Snacks,2,20.02,0,Cash on Delivery,True,Organic
O900052,C100054,2025-05-31,Beverages,2,16.08,20,card,False,Paid Social
O900053,C100054,2024-08-09,Snacks,2,0,10,Transfer,False,Influencer
O900054,C100057,2025-09-22,Home Care,7,141.44,10,Cash on Delivery,False,Affiliate
O900055,C100058,2025-12-30,Snacks,2,20.16,0,Transfer,False,Paid Search
O900056,C100059,2025-07-21,Baby,4,110.5,0,Cash on Delivery,False,Paid Social
O900057,C100059,2025-09-05,Beverages,3,19.79,20,Card,False,Email
O900058,C100059,2025-12-31,Snacks,6,64.14,15,Card,False,search
O900059,C100064,2025-11-15,Snacks,4,41.64,5,Cash on Delivery,True,Email
O900060,C100064,2025-01-07,Beverages,4,36.8,5,Card,False,organic 
O900061,C100064,2025-08-23,Supplements,2,37.5,20,Wallet,True,Email
O900062,C100065,2025-11-30,Baby,0,45.39,15,Cash on Delivery,False,Affiliate
O900063,C100066,2025-11-08,Snacks,1,10.92,20,Wallet,False,Affiliate
O900064,C100066,31/10/2025,Baby,5,136.55,0,Card,False,Organic
O900065,C100066,2025-08-11,Personal Care,5,90.95,0,Transfer,False,Paid Social
O900066,C100067,05/10/2025,Baby,2,49.93,10,Card,False,Direct
O900067,C100068,2025-08-25,Supplements,6,141.78,0,Transfer,False,Influencer
O900068,C100068,2025-02-23,Baby,2,44.71,10,Transfer,False,Paid Search
O900069,C100068,2025/08/30,Baby,2,58.0,25,Cash on Delivery,False,Organic
O900070,C100069,2024-10-09,Supplements,4,79.5,20,Cash on Delivery,False,Paid Search
O900071,C100069,03-15-2025,Snacks,1,6.78,15,Cash on Delivery,False,Paid Search
O900072,C100069,2025-05-28,Personal Care,2,32.95,10,Card,False,Organic
O900073,C100072,06-12-2025,Home Care,2,39.64,0,Wallet,False,Affiliate
O900074,C100073,2025-07-22,Baby,4,90.28,20,Cash on Delivery,False,Direct
O900075,C100073,2025-04-03,Personal Care,3,51.22,10,Wallet,False,Influencer
O900076,C100075,2025-03-13,Snacks,1,5.16,10,Card,False,Direct
O900077,C100076,2024-08-16,Personal Care,1,14.9,10,Wallet,False,Email
O900078,C100076,2025-06-06,Home Care,2,43.97,0,Card,False,Email
O900079,C100077,2025-04-03,Beverages,-1,15.03,15,Transfer,False,Direct
O900080,C100077,04/06/2025,Beverages,4,"1,234.50",0,Cash on Delivery,False,Influencer
O900081,C100080,2025-12-18,Personal Care,1,22.23,10%,Wallet,False,Paid Search
O900082,C100081,2025-02-19,Home Care,3,56.07,20,Wallet,False,Paid Social
O900083,C100081,2025-08-29,Home Care,6,132.57,0,Wallet,False,Direct
O900084,C100081,2025-07-25,Baby,3,67.15,15,Transfer,False,Organic
O900085,C100081,2024-08-14,Snacks,4,41.17,10,Transfer,False,Organic
O900086,C100081,2025-10-07,Supplements,1,22.97,5,Wallet,False,Paid Social
O900087,C100082,2025-12-27,Baby,3,74.94,5,Cash on Delivery,False,Direct
O900088,C100082,2025-12-09,Snacks,3,36.91,0,Card,False,Organic
O900089,C100083,2025-07-30,Snacks,2,21.56,0,Wallet,False,Paid Search
O900090,C100083,2025-11-18,Baby,2,59.51,0,Transfer,False,email
O900091,C100085,2025-10-05,Supplements,2,46.15,5,Wallet,False,Email
O900092,C100085,2025-10-30,Baby Care,4,90.33,0,Wallet,False,Email
O900093,C100085,2024-11-16,Baby,3,85.8,0,Cash on Delivery,False,Organic
O900094,C100086,2024-06-15,Supplements,4,93.28,5,Cash on Delivery,False,Email
O900095,C100086,2025-12-25,Personal-Care,4,70.47,0,Wallet,False,Paid Search
O900096,C100087,2025-09-23,Baby,3,73.92,15,Wallet,False,Paid Search
O900097,C100090,2024-11-09,Baby,2,50.74,15,Wallet,False,Paid Search
O900098,C100091,2025-12-12,Baby,3,68.43,20,Cash on Delivery,False,Organic
O900099,C100091,2025-03-29,Home Care,1,26.51,5,Transfer,False,Direct
O900100,C100091,2024-06-18,Baby,5,126.14,10,Cash on Delivery,False,Paid Social
O900101,C100092,2025-09-24,Snacks,1,9.52,0,Transfer,False,Affiliate
O900102,C100092,2024-03-24,Baby,4,107.4,5,Transfer,False,Influencer
O900103,C100093,2025-10-27,Supplements,-1,70.0,10,Transfer,False,Email
O900104,C100094,2024-12-26,Home Care,2,36.08,15,Transfer,False,Influencer
O900105,C100095,2025-10-28,Snacks,4,48.34,15,Card,False,Influencer
O900106,C100095,2025-10-10,Supplements,4,93.61,0,Transfer,False,Paid Search
O900107,C100096,2025-07-17,Snacks,2,21.45,15,Cash on Delivery,False,Affiliate
O900108,C100098,2025-12-15,Snacks,2,23.28,0,Cash on Delivery,False,Affiliate
O900109,C100099,2025-12-08,Snacks,6,66.87,10,Cash on Delivery,False,Paid Search
O900110,C100100,2025-10-10,Baby,1,21.47,15,Transfer,False,Paid Search
O900111,C100100,2024-12-02,Baby,4,115.78,0,Transfer,False,Paid Social
O900112,C100101,2025-09-01,Baby,1,23.06,10,Card,False,Email
O900113,C100101,2025-10-15,Snacks,4,38.8,20,Card,False,Affiliate
O900114,C100102,2025-11-26,Baby,5,140.75,0,Card,False,Affiliate
O900115,C100103,2025-12-13,Personal Care,6,107.98,5,Cash on Delivery,False,Email
O900116,C100103,2025-10-09,Personal Care,2,34.58,5,Cash on Delivery,False,Paid Search
O900117,C100103,2025-06-17,Personal Care,3,44.19,15,Transfer,False,Direct
O900118,C100103,2025-03-04,Supplements,2,36.72,5,Wallet,False,Paid Social
O900119,C100103,2025-06-29,Baby,3,84.05,0,Wallet,False,Influencer
O900120,C100104,2025-03-23,Beverages,2,12.48,20,Cash on Delivery,False,Affiliate
O900121,C100104,2025-05-20,Home Care,5,100.74,5,Cash on Delivery,False,Organic
O900122,C100104,2025-08-04,Personal-Care,2,39.76,0,Cash on Delivery,False,Paid Search
O900123,C100104,23/12/2024,Personal Care,1,18.75,25,Card,False,Paid Search
O900124,C100105,25/10/2025,Beverages,3,30.04,0,Cash on Delivery,False,Organic
O900125,C100105,2025-11-04,Baby Care,3,57.91,15,Cash on Delivery,False,Email
O900126,C100107,12-16-2025,Baby,1,29.17,0,Wallet,False,email
O900127,C100109,2024-08-17,Supplements,3,56.31,20,Wallet,False,Paid Search
O900128,C100109,2025-10-16,Personal Care,3,50.88,10,Cash on Delivery,False,Organic
O900129,C100109,2025-02-03,Baby,2,47.69,10,Card,False,Influencer
O900130,C100111,2025-12-28,Home Care,4,72.27,20,Cash on Delivery,False,Affiliate
O900131,C100112,2024-11-16,Personal Care,2,"1,234.50",10,Transfer,False,Email
O900132,C100113,2024-05-25,Beverages,2,21.11,0,Transfer,False,Email
O900133,C100114,2025-05-05,Beverages,2,9.32,20,Transfer,True,Email
O900134,C100114,28/07/2025,Home Care,3,66.56,0,Transfer,False,Affiliate
O900135,C100114,2025-08-26,Baby,3,79.1,5,Wallet,False,Email
O900136,C100115,2025-11-06,Beverages,2,13.9,5,Cash on Delivery,0,search
O900137,C100117,2024-11-13,Beverages,3,26.58,0,Cash on Delivery,Y,Affiliate
O900138,C100117,2025-08-24,Beverages,5,38.18,15,Card,False,Paid Search
O900139,C100120,2025-09-26,Beverages,2,19.02,0,Card,Y,Organic
O900140,C100121,2025-09-12,home care,2,50.98,0,Transfer,False,Email
O900141,C100121,2025-09-02,Snacks,6,77.16,0,Wallet,False,Organic
O900142,C100122,2024-12-10,Beverages,5,35.78,15,Transfer,False,Organic
O900143,C100122,2025-07-08,Baby,2,47.07,10,Wallet,False,Organic
O900144,C100123,2025-06-12,Baby,6,160.1,5,Card,False,Paid Social
O900145,C100124,2025-07-21,Beverages,4,34.41,5,Wallet,False,Email
