lead_id,customer_id,campaign_id,lead_date,lead_source,landing_page,discount_offered_pct,lead_score,observed_region,converted_30d,conversion_date,acquisition_cost_usd
L500000,C102286,MKT2030,2025-02-13,Programmatic,/promo-summer,15,42,South East,Yes,2025-03-14,1.0
L500001,C100846,MKT2013,2025-03-13,Meta,/quiz,5,13,North Central,Yes,2025-04-09,$21.24
L500002,C102002,MKT2005,2025-03-13,Meta,/landing-a,5,25,North West,Yes,2025-03-31,USD 7.06
L500003,C100660,MKT2012,05-22-2025,Partner,/promo-summer,10,34,North Central,Yes,05-26-2025,6.5
L500004,C100717,MKT2015,2025-05-21,Google,/landing-a,20,43,South West,No,,16.65
L500005,C100756,MKT2029,10-15-2025,Google,/promo-summer,10,16,South West,No,,26.15
L500006,C102361,MKT2009,2025-04-05,Creator,/bundle-offer,20,34,North Cntrl,No,,$26.75
L500007,C100268,MKT2017,2025-06-27,Meta,/promo-summer,0,47,North Central,No,,14.44
L500008,C100589,MKT2029,2025-10-21,Google,/landing-b,0,34,South East,No,,23.12
L500009,C100271,MKT2016,2025-06-17,CRM,/new-arrivals,20,24,South West,No,,1.0
L500010,C102194,MKT2035,2025-12-05,Google,/bundle-offer,10,35,North Central,No,,16.8
L500011,C100897,MKT2023,2025-08-06,CRM,/promo-summer,10,47,North Central,No,,3.52
L500012,C100959,MKT2031,2025-10-26,Meta,/new-arrivals,10,56,South West,No,,16.3
L500013,C100766,MKT2027,2025-05-01,Google,/landing-a,15,48,South East,No,,17.48
L500014,C100477,MKT2025,09-19-2025,Meta,/quiz,5,62,South West,Yes,2025-10-10,10.9
L500015,C100300,MKT2002,27/01/2025,Google,/quiz,5,15,North Central,No,,$17.75
L500016,C101301,MKT2034,2025-08-24,Meta,/landing-b,10,21,North West,No,,12.6
L500017,C100084,MKT2022,2025-08-04,CRM,/quiz,15,41,North West,No,,$2.74
L500018,C100992,MKT2024,2025-08-19,Creator,/landing-a,20,?,North West,No,,20.28
L500019,C101048,MKT2004,2025-09-02,Partner,/landing-b,0,53,South West,1,,13.79
L500020,C101527,MKT2033,2025-11-05,Programmatic,/quiz,5,12,South West,No,,$5.85
L500021,C100571,MKT2026,2025-09-28,Google,/promo-summer,15,48,South West,No,,18.2
L500022,C100756,MKT2020,2025-06-09,CRM,/bundle-offer,10,40,South West,Yes,2025-07-04,7.04
L500023,C102233,MKT2035,2025-12-09,Google,/new-arrivals,5,33,South South,No,,18
L500024,C100577,MKT2008,2025-03-29,Meta,/landing-a,0,41,North West,No,,19
L500025,C101282,MKT2015,2025-05-27,Google,/landing-a,0,25,South West,No,,18
L500026,C100893,MKT2018,2025-07-07,Meta,/landing-b,5,27,North Cntrl,Yes,2025-07-24,18.14
