session_id,customer_id,campaign_id,session_date,device,channel_group,pages_viewed,time_on_site_sec,bounce,add_to_cart,checkout_started,geo_region
S800000,C101036,MKT2009,2025-12-10 19:25:45,Mobile,Influencer,9,602,False,True,False,North West
S800001,C101054,MKT2004,2025-11-23 00:40:31,Mobile,Affiliate,4,187,False,True,True,North Central
S800002,C100527,MKT2014,2025-09-17 21:38:38,Mobile,Paid Search,4,316,False,True,True,North West
S800003,C100552,MKT2015,2025-12-29 04:07:28,Mobile,Paid Search,6,242,True,False,False,North Central
S800004,C101568,MKT2020,2025-04-27 16:43:07,Mobile,Email,8,305,False,True,True,North West
S800005,C102277,,05-31-2025,Desktop ,Organic,10,112,False,False,False,North Central
S800006,C102366,MKT2012,01/06/2025,Mobile,Affiliate,3,250,True,False,False,North Central
S800007,C100394,,2025/08/22,Tablet,Direct,8,280,False,True,True,North Central
S800008,C101404,MKT2019,2025-08-25 11:24:08,Mobile,Paid Social,2,233,True,False,False,South West
S800009,C101704,MKT2013,2025-01-28 21:45:11,Mobile,Paid Social,4,212,TRUE,False,False,North West
S800010,C101358,MKT2033,2025-11-19 22:22:09,Desktop,Display,7,393,True,False,False,North Central
S800011,C100645,,07/06/2025,Mobile,Organic,5,411,False,False,False,North Central
S800012,C101043,MKT2011,2025-03-19 15:30:56,Mobile,Email,6,164,False,False,False,North Central
S800013,C101231,MKT2007,2025-03-09 17:40:31,Mobile,Influencer,8,160,False,False,False,North West
S800014,C101138,,2025-03-12 09:50:31,Mobile,Direct,4,81,False,False,False,North Central
S800015,C101422,MKT2012,2025-10-02 19:23:17,Mobile,Affiliate,5,163,False,True,False,South East
S800016,C100463,,05/11/2025,Mobile,Referral,4,253,False,False,False,south west
S800017,C101799,MKT2019,2025-07-02 08:56:15,Mobile,Paid Social,10,229,False,True,True,South West
S800018,C100816,MKT2006,2025-10-08 21:37:50,Mobile,Paid Social,3,170,True,False,False,South South
S800019,C100043,MKT2024,2025/05/06,Mobile,Influencer,8,289,False,True,True,South South
S800020,C100129,MKT2023,2025-03-14 20:49:04,Desktop,Email,8,245,True,False,False,North Central
S800021,C100676,MKT2027,2025-02-10 02:01:10,Mobile,Paid Search,5,49,False,False,False,South West
S800022,C100384,MKT2023,2025-11-23 12:08:25,Desktop,Email,9,116,False,False,False,South South
S800023,C100160,MKT2026,2025-11-30 03:20:55,Mobile,Paid Search,7,118,False,True,True,South West
S800024,C102278,MKT2010,2025-03-06 05:24:57,Mobile,Paid Search,4,316,False,False,False,North West
S800025,C102093,MKT2003,2025-07-25 07:56:08,Tablet,Email,5,194,False,True,False,N Central
S800026,C101832,,2025-06-28 19:27:28,Mobile,Email,4,152,False,True,False,South East
S800027,C101450,MKT2032,2025-01-06 06:46:09,Desktop,Paid Search,6,304,False,True,False,South West
S800028,C102206,MKT2033,2025-07-24,Mobile,Display,5,380,False,False,False,South South
S800029,C101522,MKT2029,2025-12-01 22:47:33,Tablet,Paid Search,9,80,False,False,False,North Central
S800030,C101498,MKT2018,2025-03-16 09:06:28,Mobile,Paid Social,3,88,True,False,False,South West
S800031,C100738,MKT2021,2025-01-02 14:13:45,Mobile,Affiliate,5,260,False,False,False,North West
S800032,C100075,MKT2000,2025-07-07 12:38:57,Mobile,Paid Social,6,8,False,False,False,South West
S800033,C101761,MKT2007,2025-07-01 22:36:01,Desktop,Influencer,7,228,False,False,False,South West
S800034,C101399,MKT2022,2025-07-30 08:11:44,Mobile,Email,4,54,True,False,False,South West
S800035,C101942,MKT2002,2025-07-09 17:34:35,Mobile,Paid Search,5,331,False,False,1,South South
S800036,C101151,,2025-10-28 04:00:15,Mobile,Organic,2,274,True,False,False,North Central
S800037,C100000,MKT2002,04-23-2025,Tablet,Paid Search,7,53,False,True,False,South West
S800038,C101632,MKT2028,2025-08-15 06:45:22,Mobile,Paid Search,2,74,False,False,False,South East
S800039,C100064,MKT2032,2025-11-25 06:24:23,Desktop,Paid Search,7,44,False,True,False,South South
S800040,C100132,,17/11/2025,Desktop,Referral,4,381,True,False,False,North Central
S800041,C100210,,2025-06-25 16:32:15,Mobile,Organic,2,322,True,False,False,South South
S800042,C100232,,2025-04-11 19:39:21,Mobile,Referral,8,156,False,False,False,North West
S800043,C102346,,"Jan 19, 2025",Mobile,Referral,3,444,False,False,False,North Central
S800044,C100228,MKT2029,07/06/2025,Desktop,Paid Search,9,156,True,False,False,North West
S800045,C101235,MKT2025,2025-03-06 10:21:17,Mobile,Paid Social,8,155,False,True,False,South East
S800046,C100936,MKT2014,2025-01-28 06:56:30,Mobile,Display Ads,5,327,False,False,False,North West
S800047,C101997,,2025/12/25,Tablet,Email,8,232,True,False,False,North Central
S800048,C102184,MKT2034,2025-07-22 10:46:23,Desktop,Paid Social,5,436,False,False,False,South West
S800049,C101499,MKT2026,09/10/2025,Mobile,Paid Search,11,151,False,True,False,North West
S800050,C100317,MKT2001,2025-08-24 02:54:35,Desktop,Paid Search,7,244,False,True,False,South West
S800051,C100810,,30/05/2025,Mobile,Referral,4,461,True,False,False,South West
S800052,C100331,MKT2022,"Mar 10, 2025",Mobile,Email,6,36,False,False,False,South West
S800053,C100486,,2025-06-03 09:10:03,Mobile,Direct,8,302,False,False,False,South South
S800054,C101112,MKT2010,2025-01-24 10:20:11,Mobile,Paid Search,5,167,False,False,False,South South
S800055,C101020,MKT2003,2025-02-16 02:29:17,Desktop,Email,4,287,True,False,False,South West
S800056,C101915,MKT2026,2025-06-14 07:26:33,Desktop,Paid Search,8,343,False,False,False,North West
S800057,C100232,MKT2024,2025-03-24 01:19:40,Mobile,Influencer,5,422,False,True,False,North West
S800058,C100453,MKT2024,28/10/2025,Desktop,Influencer,4,222,False,True,True,South West
S800059,C102013,MKT2007,13/03/2025,Mobile,Influencer,6,194,True,True,True,South East
S800060,C101510,MKT2019,2025-05-23 14:24:37,Mobile,Paid Social,8,323,False,True,True,South South
S800061,C101782,MKT2004,08-07-2025,Mobile,Affiliate,7,186,False,True,False,South East
S800062,C100654,,2025-01-29 02:27:57,Mobile,Organic,8,8,False,False,False,South South
S800063,C100396,MKT2017,2025-09-18 05:15:05,Mobile,Paid Social,5,208,False,False,False,South South
S800064,C100325,,2025-01-06 16:37:17,Mobile,Direct,1,8,True,False,False,South West
S800065,C101462,MKT2033,2025-10-22 23:11:48,Mobile,Display,2,382,True,TRUE,False,North Central
S800066,C101730,MKT2032,"Dec 14, 2025",Mobile,Paid Search,4,284,False,False,False,South West
S800067,C101352,MKT2033,2025-08-18 04:50:29,Desktop,Display,3,184,False,False,False,NW
S800068,C100967,MKT2023,05/05/2025,Mobile,Email,6,279,False,True,False,South South
S800069,C101660,,2025-06-21 22:50:18,Mobile,Email,7,238,False,True,False,South West
S800070,C100715,,2025-10-18 00:11:27,Desktop,Direct,5,221,False,False,False,North Central
S800071,C100298,MKT2015,2025-03-31 07:44:12,Mobile,Paid Search,8,199,True,False,False,South West
S800072,C101437,,2025-03-13,Desktop,Email,3,8,True,False,False,South West
S800073,C101096,MKT2027,2025-11-17 02:04:22,Mobile,Paid Search,3,151,True,False,False,South South
S800074,C101309,MKT2032,2025-05-15 08:51:57,Mobile,Paid Search,4,36,False,True,False,South East
S800075,C100763,,2025-08-24 06:07:48,Tablet,Email,6,252,False,False,False,North West
S800076,C101871,MKT2006,01/03/2025,Desktop,Paid Social,3,129,True,False,False,North Central
S800077,C101999,,2025-04-12 14:08:53,Mobile,Direct,5,134,False,False,False,North West
S800078,C100871,MKT2016,2025-05-23 19:27:06,Mobile,Email,10,285,False,False,False,South West
S800079,C100395,MKT2017,2025-09-13 15:35:58,Mobile,Paid Social,4,41,False,True,False,North Central
S800080,C100070,MKT2004,2025-04-16 23:00:13,Mobile,Affiliate,7,153,False,True,True,South East
S800081,C100990,MKT2033,2025-04-10,Mobile,Display,9,446,True,True,False,South South
S800082,C100952,MKT2024,10-20-2025,Mobile,Influencer,5,132,True,False,False,South South
S800083,C101878,,2025-08-21 03:44:54,Desktop,Organic,5,101,False,True,False,South West
S800084,C100384,,2025-09-30 20:28:48,Desktop,Organic,5,239,False,False,False,South South
S800085,C101369,MKT2030,2025-04-16 19:54:17,Desktop,Display,3,481,False,False,False,South East
S800086,C100557,,12-20-2025,Mobile,Email,6,294,False,False,False,North Central
S800087,C100064,MKT2024,"Jun 06, 2025",Mobile,Influencer,5,269,False,True,True,South South
S800088,C101038,,2025-04-18 06:19:49,Mobile,Organic,4,231,False,False,False,N Central
S800089,C101666,MKT2015,07/01/2025,Desktop,Paid Search,7,321,False,False,False,North Central
S800090,C101903,,2025-06-22 12:43:33,Tablet,Direct,8,413,False,False,False,North Central
S800091,C101181,MKT2020,2025-07-22 10:17:37,Mobile,Email,1,333,True,False,False,South South
S800092,C102106,MKT2010,2025-05-20 07:21:51,Desktop,Paid Search,8,33,False,True,True,North West
S800093,C100396,MKT2001,2025-11-23 08:44:38,Mobile,Paid Search,6,160,True,False,False,South South
S800094,C101561,MKT2007,2025-09-23 18:26:43,Desktop,Influencer,7,382,False,False,False,North West
S800095,C100345,MKT2000,2025-05-28 10:05:10,Mobile,Paid Social,5,419,False,True,True,South East
S800096,C100216,MKT2034,2025-05-09 11:24:43,Mobile,Paid Social,3,220,True,False,False,South East
S800097,C100638,MKT2030,12-23-2025,Mobile,Display,3,164,False,False,False,South South
S800098,C102103,MKT2031,"May 17, 2025",Mobile,Paid Social,5,379,True,True,False,North West
S800099,C100519,MKT2025,2025-05-24 10:53:55,Mobile,Paid Social,4,168,False,True,False,South West
S800100,C100893,MKT2031,2025-05-24,Mobile,Paid Social,4,217,True,False,False,North Cntrl
S800101,C101376,MKT2010,2025-10-05 17:56:57,Mobile,Paid Search,5,105,False,True,True,South West
S800102,C101316,,2025-07-22 05:33:15,Mobile,Organic,3,449,True,False,False,South South
S800103,C100421,MKT2016,2025-04-30 18:38:06,Desktop,Email,6,8,False,False,False,North Central
S800104,C101698,MKT2013,2025-01-05 17:35:14,Mobile,Paid Social,1,70,True,False,False,South South
S800105,C100795,MKT2023,2025-04-09 14:15:33,Mobile,Email,3,533,False,False,False,North Central
S800106,C100791,MKT2031,2025-03-27 21:19:49,Mobile,Paid Social,3,244,True,False,False,North Central
S800107,C101978,,2025-05-28 22:06:17,Mobile,Organic,7,127,False,True,False,South West
S800108,C101607,MKT2011,2025-08-09 11:06:24,Mobile,Email,5,165,False,True,False,South West
S800109,C101973,,2025-11-07 10:41:54,Mobile,Organic,3,242,False,True,False,South West
S800110,C101072,MKT2011,2025-10-29 13:49:52,Desktop,Email,10,51,True,True,True,North West
S800111,C102362,MKT2025,10-27-2025,Mobile,Paid Social,3,184,False,False,False,South West
S800112,C100785,MKT2033,2025-09-04 08:07:16,Mobile,Display,9,127,False,True,False,South South
S800113,C100731,MKT2005,2025-04-26 01:58:04,Mobile,Paid Social,9,253,False,True,False,South South
S800114,C100758,MKT2030,2025-05-31 23:34:43,Mobile,Display,5,260,False,True,False,South South
S800115,C100182,MKT2008,2025-03-14 13:15:03,Mobile,Paid Social,8,215,False,True,False,North West
S800116,C101698,MKT2024,08/11/2025,Desktop,Influencer,6,184,False,False,False,South South
S800117,C100225,MKT2016,2025-02-22 18:33:29,Mobile,Email,3,66,True,False,False,South West
S800118,C101497,,2025-06-04 04:33:33,Mobile,Email,10,287,False,True,False,South East
S800119,C101364,,2025-04-12 20:52:42,Tablet,Email,7,180,True,False,False,South West
S800120,C102240,,2025-03-20 08:56:02,Desktop ,Organic,5,83,False,False,False,South West
S800121,C100612,,2025-02-26,Mobile,Referral,7,354,False,False,False,South West
S800122,C102168,MKT2031,2025-02-21 17:38:27,Mobile,Paid Social,7,204,False,False,False,South West
S800123,C100247,MKT2011,2025-12-13 15:27:30,Mobile,Email,9,410,False,True,False,North West
S800124,C100396,MKT2017,2025-02-15 21:34:22,Tablet,Paid Social,5,183,True,False,False,South South
S800125,C101802,MKT2026,2025/10/17,Mobile,Paid Search,4,130,False,False,False,North West
S800126,C100533,MKT2021,2025-10-16 12:02:07,Mobile,Affiliate,6,222,False,True,False,South West
S800127,C100654,MKT2021,2025-05-19 04:22:42,Mobile,paid social,7,309,False,False,False,South South
S800128,C100534,,2025-05-14 05:38:57,Desktop,Email,2,248,True,False,False,North Central
S800129,C100593,MKT2000,2025-09-07 23:17:12,Desktop,Paid Social,6,292,False,True,True,North Central
S800130,C101975,MKT2007,2025-05-30 23:45:26,Mobile,Influencer,10,157,False,True,True,South West
S800131,C101509,MKT2021,"Sep 13, 2025",Desktop,Affiliate,2,202,False,False,False,South South
S800132,C101374,,2025-03-06 15:45:02,Desktop,Organic,6,169,False,False,False,South West
S800133,C101476,MKT2017,2025-03-11 18:25:57,Desktop,Paid Social,4,505,True,False,False,North Central
S800134,C100442,MKT2031,2025-03-07 03:06:57,Desktop,Paid Social,4,181,False,False,False,North Central
S800135,C102205,MKT2032,2025-06-15 20:29:47,Mobile,Paid Search,5,335,False,False,False,South West
S800136,C100930,MKT2024,2025-11-28,Desktop,Influencer,8,252,True,False,False,South South
S800137,C101758,,2025-04-29 23:41:45,Mobile,Email,5,231,False,True,True,North Central
S800138,C100371,MKT2023,05/01/2025,Mobile,Email,6,144,True,True,False,South West
