lead_id,customer_id,campaign_id,lead_date,lead_source,landing_page,discount_offered_pct,lead_score,observed_region,converted_30d,conversion_date,acquisition_cost_usd,discount_pct,age,gender,income_band,loyalty_tier,avg_pages_viewed,avg_time_on_site,total_add_to_cart,total_checkout_started,total_sessions,total_revenue,preferred_device,predicted_prob,priority_tier
L500000,C102286,MKT2030,2025-02-13,Programmatic,/promo-summer,15,42.0,South East,True,2025-03-14,1.0,15.0,36.0,male,Middle,gold,4.857142857142857,256.7142857142857,2.0,0.0,7.0,68.96000000000001,desktop,0.40451743321037786,Medium
L500001,C100846,MKT2013,2025-03-13,Meta,/quiz,5,13.0,North Central,True,2025-04-09,$21.24,5.0,38.0,male,Lower-Middle,gold,5.0,264.57142857142856,5.0,4.0,7.0,0.0,desktop,0.3370266592377808,Medium
L500002,C102002,MKT2005,2025-03-13,Meta,/landing-a,5,25.0,North West,True,2025-03-31,USD 7.06,5.0,27.0,non-binary,Lower-Middle,bronze,6.6,235.4,2.0,0.0,5.0,15.29,mobile,0.23971651683862977,Low
L500003,C100660,MKT2012,05-22-2025,Partner,/promo-summer,10,34.0,North Central,True,05-26-2025,6.5,10.0,48.0,female,Upper-Middle,bronze,6.0,276.75,1.0,1.0,4.0,0.0,desktop,0.439371831385429,Medium
L500004,C100717,MKT2015,2025-05-21,Google,/landing-a,20,43.0,South West,False,,16.65,20.0,35.0,male,Upper-Middle,bronze,5.4,217.63636363636363,4.0,0.0,11.0,130.3,mobile,0.38649119553260597,Medium
L500005,C100756,MKT2029,10-15-2025,Google,/promo-summer,10,16.0,South West,False,,26.15,10.0,45.0,male,Middle,silver,5.363636363636363,240.83333333333337,6.0,1.0,12.0,0.0,mobile,0.35514661990650964,Medium
L500006,C102361,MKT2009,2025-04-05,Creator,/bundle-offer,20,34.0,North Cntrl,False,,$26.75,20.0,50.0,male,Upper-Middle,bronze,6.3,162.6,5.0,5.0,10.0,195.04,mobile,0.42056337651741577,Medium
L500007,C100268,MKT2017,2025-06-27,Meta,/promo-summer,0,47.0,North Central,False,,14.44,0.0,42.0,male,Middle,gold,6.5,188.75,3.0,0.0,8.0,137.49,desktop,0.39578874044455264,Medium
L500008,C100589,MKT2029,2025-10-21,Google,/landing-b,0,34.0,South East,False,,23.12,0.0,40.0,male,Low,silver,5.166666666666667,146.83333333333334,2.0,0.0,6.0,20.3,desktop,0.4042068170005111,Medium
L500009,C100271,MKT2016,2025-06-17,CRM,/new-arrivals,20,24.0,South West,False,,1.0,20.0,35.0,male,Low,silver,5.0,259.8181818181818,4.0,2.0,11.0,269.97999999999996,phone,0.18180327824191914,Low
L500010,C102194,MKT2035,2025-12-05,Google,/bundle-offer,10,35.0,North Central,False,,16.8,10.0,29.0,female,Upper-Middle,bronze,5.818181818181818,256.09090909090907,3.0,1.0,11.0,92.77,mobile,0.38856761168959836,Medium
L500011,C100897,MKT2023,2025-08-06,CRM,/promo-summer,10,47.0,North Central,False,,3.52,10.0,31.0,male,Lower-Middle,gold,5.25,157.75,1.0,0.0,12.0,25.13,desktop,0.37352073822896015,Medium
L500012,C100959,MKT2031,2025-10-26,Meta,/new-arrivals,10,56.0,South West,False,,16.3,10.0,44.0,male,Lower-Middle,gold,6.666666666666667,280.3333333333333,1.0,1.0,3.0,282.48,mobile,0.371554761276709,Medium
L500013,C100766,MKT2027,2025-05-01,Google,/landing-a,15,48.0,South East,False,,17.48,15.0,33.0,female,Middle,gold,5.444444444444445,257.8888888888889,4.0,2.0,9.0,38.18000000000001,mobile,0.4399936704812514,Medium
L500014,C100477,MKT2025,09-19-2025,Meta,/quiz,5,62.0,South West,True,2025-10-10,10.9,5.0,42.0,female,High,platinum,5.0,92.33333333333331,1.0,1.0,3.0,114.92,mobile,0.5692931164994821,Medium
L500015,C100300,MKT2002,27/01/2025,Google,/quiz,5,15.0,North Central,False,,$17.75,5.0,26.0,male,Low,bronze,4.8,229.0,2.0,1.0,5.0,70.6,mobile,0.23607952105269422,Low
L500016,C101301,MKT2034,2025-08-24,Meta,/landing-b,10,21.0,North West,False,,12.6,10.0,36.0,female,Low,bronze,4.1,184.4,4.0,3.0,10.0,-12.0,desktop,0.3317439759191807,Medium
L500017,C100084,MKT2022,2025-08-04,CRM,/quiz,15,41.0,North West,False,,$2.74,15.0,49.0,female,Upper-Middle,silver,5.0,253.41666666666663,8.0,4.0,12.0,0.0,mobile,0.3535023958830526,Medium
L500018,C100992,MKT2024,2025-08-19,Creator,/landing-a,20,0.0,North West,False,,20.28,20.0,24.0,female,Middle,silver,5.714285714285714,254.57142857142856,4.0,1.0,7.0,0.0,mobile,0.21650170018269205,Low
L500019,C101048,MKT2004,2025-09-02,Partner,/landing-b,0,53.0,South West,True,,13.79,0.0,43.0,male,Low,gold,4.444444444444445,226.77777777777777,4.0,3.0,9.0,98.7,mobile,0.5104759017457516,Medium
L500020,C101527,MKT2033,2025-11-05,Programmatic,/quiz,5,12.0,South West,False,,$5.85,5.0,48.0,male,Middle,bronze,5.111111111111111,260.3333333333333,2.0,0.0,9.0,0.0,mobile,0.2315162145151079,Low
L500021,C100571,MKT2026,2025-09-28,Google,/promo-summer,15,48.0,South West,False,,18.2,15.0,27.0,female,Middle,silver,5.454545454545454,218.8181818181818,2.0,1.0,11.0,32.84,mobile,0.40100084512487166,Medium
L500022,C100756,MKT2020,2025-06-09,CRM,/bundle-offer,10,40.0,South West,True,2025-07-04,7.04,10.0,45.0,male,Middle,silver,5.363636363636363,240.83333333333337,6.0,1.0,12.0,0.0,mobile,0.391643074687309,Medium
L500023,C102233,MKT2035,2025-12-09,Google,/new-arrivals,5,33.0,South South,False,,18,5.0,22.0,female,Lower-Middle,bronze,4.0,209.5,2.0,2.0,10.0,216.67,tablet,0.34237445288170926,Medium
